Iteration,Discriminator Loss,Generator Loss
3750,1.318200,0.590070
3760,1.384678,0.567941
3770,1.395902,0.812132
3780,1.335815,0.814484
3790,1.379497,0.730396
3800,1.347699,0.586743
3810,1.365727,0.452416
3820,1.297942,0.551692
3830,1.323340,0.765167
3840,1.319840,0.848749
3850,1.295743,0.752893
3860,1.300755,0.756906
3870,1.306909,0.788641
3880,1.337731,0.651437
3890,1.348895,0.608598
3900,1.246991,0.767422
3910,1.326725,0.621355
3920,1.361969,0.655218
3930,1.323212,0.540113
3940,1.256253,0.609955
3950,1.328046,0.530464
3960,1.303774,0.571537
3970,1.304914,0.543903
3980,1.349347,0.556723
3990,1.323249,0.542247
4000,1.313374,0.568969
4010,1.332770,0.499715
4020,1.324828,0.722739
4030,1.336635,0.569350
4040,1.307871,0.514213
4050,1.350147,0.560158
4060,1.323258,0.572678
4070,1.292281,0.551487
4080,1.369079,0.585273
4090,1.325220,0.619601
4100,1.264671,0.539209
4110,1.351862,0.745537
4120,1.295785,0.514787
4130,1.292368,0.481781
4140,1.285927,0.680586
4150,1.346663,0.642268
4160,1.338494,0.794002
4170,1.316939,0.696673
4180,1.285780,0.620898
4190,1.335422,0.550515
4200,1.321130,0.571585
4210,1.299047,0.490750
4220,1.336316,0.698143
4230,1.330619,0.760344
4240,1.289670,0.689618
4250,1.221648,0.761120
4260,1.316510,0.592593
4270,1.358060,0.613831
4280,1.278038,0.581497
4290,1.341246,0.637146
4300,1.248030,0.580827
4310,1.267404,0.697280
4320,1.272999,0.675923
4330,1.318009,0.565377
4340,1.258296,0.726079
4350,1.247071,0.539833
4360,1.345294,0.585270
4370,1.289479,0.602890
4380,1.300446,0.635762
4390,1.276652,0.687444
4400,1.331068,0.612013
4410,1.282672,0.690721
4420,1.250663,0.686468
4430,1.294347,0.610693
4440,1.249355,0.765991
4450,1.253518,0.540042
4460,1.287091,0.734895
4470,1.305299,0.572293
4480,1.292484,0.572706
4490,1.352323,0.625916
4500,1.266315,0.569763
4510,1.290300,0.556463
4520,1.320069,0.567383
4530,1.243161,0.726687
4540,1.315047,0.828922
4550,1.329508,0.715893
4560,1.357943,0.612832
4570,1.282043,0.597983
4580,1.290522,0.733918
4590,1.313774,0.608019
4600,1.304879,0.605506
4610,1.289479,0.739064
4620,1.263114,0.556942
4630,1.275553,0.575782
4640,1.310668,0.612055
4650,1.276234,0.752196
4660,1.202556,0.695624
4670,1.234249,0.751030
4680,1.365594,0.534081
4690,1.312494,0.585843
4700,1.243962,0.513062
4710,1.299248,0.568795
4720,1.269949,0.780555
4730,1.274396,0.608964
4740,1.322907,0.575559
4750,1.319198,0.586833
4760,1.305598,0.585826
4770,1.337299,0.506196
4780,1.297340,0.620743
4790,1.324710,0.735372
4800,1.325362,0.545618
4810,1.292033,0.588060
4820,1.321365,0.677397
4830,1.237485,0.644617
4840,1.347624,0.678837
4850,1.232064,0.514100
4860,1.320579,0.769659
4870,1.276937,0.741764
4880,1.329771,0.554145
4890,1.370508,0.546439
4900,1.243125,0.507160
4910,1.261739,0.623158
4920,1.248848,0.628642
4930,1.335645,0.607331
4940,1.281665,0.708540
4950,1.299536,0.516608
4960,1.273993,0.553495
4970,1.313689,0.610534
4980,1.346420,0.542719
4990,1.312035,0.692222
5000,1.260292,0.592600
5010,1.255592,0.536271
5020,1.349589,0.657709
5030,1.246792,0.683198
5040,1.259674,0.654101
5050,1.215161,0.601266
5060,1.303674,0.573281
5070,1.280464,0.720458
5080,1.281396,0.508173
5090,1.308199,0.562919
5100,1.239527,0.682685
5110,1.254956,0.691311
5120,1.293821,0.559547
5130,1.315521,0.482054
5140,1.211799,0.591139
5150,1.265161,0.621370
5160,1.292500,0.613693
5170,1.253824,0.545884
5180,1.378222,0.683810
5190,1.304498,0.516042
5200,1.190396,0.404214
5210,1.340516,0.614359
5220,1.317714,0.663605
5230,1.337359,0.653713
5240,1.345588,0.493137
5250,1.329961,0.502340
5260,1.269291,0.552830
5270,1.282242,0.537331
5280,1.215533,0.689281
5290,1.273384,0.721013
5300,1.363027,0.511623
5310,1.326765,0.633348
5320,1.212684,0.643977
5330,1.288734,0.540442
5340,1.347072,0.744316
5350,1.285410,0.697042
5360,1.248224,0.578806
5370,1.348300,0.722586
5380,1.242253,0.566157
5390,1.336589,0.690557
5400,1.270885,0.735174
5410,1.280426,0.656956
5420,1.289533,0.669033
5430,1.203104,0.472293
5440,1.313445,0.578667
5450,1.231629,0.572377
5460,1.270002,0.640339
5470,1.231936,0.509942
5480,1.238121,0.633623
5490,1.263644,0.673255
5500,1.346276,0.665718
5510,1.338216,0.596131
5520,1.340920,0.518865
