Iteration,Discriminator Loss,Generator Loss
3550,1.364448,0.680549
3560,1.249047,0.390578
3570,1.333685,0.675594
3580,1.168201,0.422823
3590,1.276744,0.552032
3600,1.237346,0.381580
3610,1.228973,0.388353
3620,1.338303,0.605000
3630,1.240646,0.412977
3640,1.281842,0.447171
3650,1.165428,0.476465
3660,1.295420,0.385971
3670,1.079264,0.283813
3680,1.229257,0.565340
3690,1.227633,0.451561
3700,1.284245,0.329268
3710,1.310320,0.574403
3720,1.214801,0.336548
3730,1.217942,0.517497
3740,1.324278,0.668514
3750,1.330026,0.404815
3760,1.321024,0.535304
3770,1.340629,0.630288
3780,1.339969,0.697543
3790,1.249276,0.658083
3800,1.163605,0.346076
3810,1.124931,0.456877
3820,1.239430,0.544029
3830,1.339232,0.418856
3840,1.287643,0.713712
3850,1.147969,0.521388
3860,1.334563,0.534680
3870,1.342548,0.678631
3880,1.182026,0.347674
3890,1.294453,0.465076
3900,1.212675,0.383588
3910,1.299040,0.596019
3920,1.305317,0.393545
3930,1.285039,0.476007
3940,1.340787,0.703284
3950,1.401963,0.516202
3960,1.325055,0.602601
3970,1.319965,0.652599
3980,1.346739,0.632387
3990,1.241119,0.693150
4000,1.278388,0.369273
4010,1.225883,0.496500
4020,1.371007,0.703066
4030,1.216757,0.534512
4040,1.108252,0.507427
4050,1.149657,0.414175
4060,1.251846,0.840764
4070,1.381103,0.487908
4080,1.367594,0.836634
4090,1.404123,0.463534
4100,1.229244,0.661882
4110,1.226307,0.631906
4120,1.393867,0.619961
4130,1.236699,0.379266
4140,1.314644,0.607896
4150,1.234248,0.492234
4160,1.207675,0.309734
4170,1.319623,0.510408
4180,1.176168,0.477177
4190,1.354087,0.713875
4200,1.284185,0.582214
4210,1.340214,0.638113
4220,1.400217,0.432522
4230,1.361389,0.445386
4240,1.252309,0.464961
4250,1.322709,0.666206
4260,1.176220,0.484937
4270,1.410414,0.560320
4280,1.326594,0.636455
4290,1.192600,0.486778
4300,1.286712,0.523077
4310,1.296039,0.500166
4320,1.352181,0.644828
4330,1.120407,0.395848
4340,1.348711,0.690230
